ticker,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,forecast_price_30d,current_price,forecast_change_%,current_market_cap_B,forecast_market_cap_B
STAG,-0.0165,0.0254,0.2434,0.1,34.63,34.630001068115234,-0.0,6.603802624,6.46531683296
SWK,-0.6049,-0.1609,0.381,-0.42,69.17,69.31999969482422,-0.22,10.730181632,10.70696264
SBUX,-0.132,0.0169,0.3266,0.05,91.95,92.12000274658205,-0.18,104.7128064,104.51956794240002
STLD,0.797,0.2218,0.3859,0.57,123.04,123.0199966430664,0.02,18.262810624,18.26578016
SYY,0.1364,0.0581,0.2278,0.26,80.67,80.6500015258789,0.02,38.510051328,38.51960232
TMUS,0.7372,0.1681,0.2408,0.7,244.58,244.97999572753903,-0.16,275.705397248,275.25523142656
TPR,1.7429,0.3344,0.4016,0.83,109.36,109.08999633789062,0.25,22.65690112,22.7129784
TRGP,3.0523,0.406,0.3258,1.25,165.16,165.08999633789062,0.04,35.526045696,35.54111072
TGT,-0.5513,-0.1306,0.3715,-0.35,105.06,105.4000015258789,-0.32,47.890178048,47.73569364096
SNX,0.223,0.0939,0.2932,0.32,147.08,146.57000732421875,0.35,12.08720384,12.129261656320002
