ticker,dcf_market_cap_B,ddm_market_cap_B,multiples_market_cap_B,median_market_cap_B,current_price,forecast_price_30d,forecast_change_%,current_market_cap_B,forecast_market_cap_B,sector,buy?
PEP,575.4,338.47,147.3,338.47,145.2100067138672,144.81,-0.28,198.804127744,198.25648406784,Consumer Defensive,Yes
PH,46.26,14.13,41.35,41.35,727.739990234375,727.29,-0.06,92.989161472,92.93166162,Industrials,No
PHM,31.84,4.46,42.54,31.84,121.63999938964844,121.52,-0.1,23.999328256,23.97565296,Consumer Cyclical,Yes
PK,20.67,2.09,1.46,2.09,10.170000076293944,10.19,0.2,2.033125376,2.03712366,Real Estate,Yes
PKG,30.32,20.03,19.83,20.03,196.42999267578125,196.54,0.06,17.674534912,17.684433352,Consumer Cyclical,Yes
PNR,16.85,3.19,9.23,9.23,102.72000122070312,102.73,0.01,16.838992896,16.84063245184,Industrials,No
PRGO,22.75,11.62,8.08,11.62,22.549999237060547,22.63,0.35,3.102496768,3.11350347104,Healthcare,Yes
PSA,73.5,41.15,24.86,41.15,281.739990234375,281.72,-0.01,49.43212544,49.42861690624,Real Estate,No
PVH,14.71,0.11,8.15,8.15,72.9000015258789,73.12,0.3,3.504529152,3.515105072,Consumer Cyclical,Yes
PWR,47.46,1.13,18.52,18.52,386.1499938964844,386.79,0.17,57.538666496,57.63403074,Industrials,No
QCOM,139.06,132.82,200.51,139.06,147.55999755859375,147.4,-0.11,159.2172544,159.04460943360002,Technology,No
QGEN,4.42,2.48,12.89,4.42,48.040000915527344,48.12,0.17,10.416705536,10.43405208,Healthcare,No
R,121.69,3.13,19.48,19.48,177.6999969482422,177.55,-0.08,7.248489472,7.24237103,Industrials,Yes
RBA,32.79,6.38,8.71,8.71,114.11000061035156,113.83,-0.25,21.222520832,21.12673508064,Industrials,No
RCL,93.09,9.71,55.27,55.27,301.44000244140625,299.63,-0.6,81.879547904,81.38789764,Consumer Cyclical,No
REGN,214.25,50.03,64.17,64.17,563.0,564.11,0.2,59.670679552,58.7633387,Healthcare,Yes
REXR,14.27,6.39,3.74,6.39,36.720001220703125,36.73,0.03,8.991039488,8.69296256,Real Estate,No
REYN,24.33,22.03,6.28,22.03,22.850000381469727,22.78,-0.31,4.8059264,4.79120331776,Consumer Cyclical,Yes
RL,21.26,2.67,13.59,13.59,288.260009765625,287.68,-0.2,17.461147648,11.13120224,Consumer Cyclical,No
RMD,33.27,12.72,25.1,25.1,283.8999938964844,283.68,-0.08,41.627406336,41.59514962944,Healthcare,No
ROK,39.71,8.93,12.98,12.98,333.2300109863281,332.98,-0.08,37.466382336,37.43827332,Industrials,No
ROL,14.29,22.64,8.79,14.29,58.63999938964844,58.58,-0.1,28.419289088,28.3902112,Consumer Cyclical,No
ROP,65.95,19.18,35.03,35.03,534.3800048828125,535.54,0.22,57.506770944,57.63160155999999,Technology,No
